Вариант № 20
Метод стрельб

Itr      |	z(0)     |	y(1)     |	Delta       |
        1|	 1.500000|	 2.295063|	2.981870e-01|
        2|	 0.750000|	 1.851447|	1.454288e-01|
        3|	 1.125000|	 2.070503|	7.362697e-02|
        4|	 0.937500|	 1.960285|	3.659046e-02|
        5|	 1.031250|	 2.015221|	1.834546e-02|
        6|	 0.984375|	 1.987710|	9.165533e-03|
        7|	 1.007812|	 2.001455|	4.579255e-03|
        8|	 0.996094|	 1.994580|	2.295785e-03|
        9|	 1.001953|	 1.998017|	1.141063e-03|
       10|	 1.004883|	 1.999736|	2.859991e-03|
       11|	 1.006348|	 2.000596|	3.719581e-03|
       12|	 1.005615|	 2.000166|	3.289776e-03|
       13|	 1.005249|	 1.999951|	3.074881e-03|

x        |	y(x)     |	Ypr(x)   |	z(x)     |	Delta       |
 0.000000|	 1.000000|	 1.000000|	 1.005249|	0.000000e+00|
 0.003125|	 1.003142|	 1.003126|	 1.005890|	1.602539e-05|
 0.006250|	 1.006289|	 1.006257|	 1.008261|	3.132155e-05|
 0.009375|	 1.009445|	 1.009399|	 1.012297|	4.592606e-05|
 0.012500|	 1.012617|	 1.012557|	 1.017931|	5.987444e-05|
 0.015625|	 1.015809|	 1.015736|	 1.025100|	7.320021e-05|
 0.018750|	 1.019026|	 1.018940|	 1.033742|	8.593504e-05|
 0.021875|	 1.022271|	 1.022173|	 1.043794|	9.810884e-05|
 0.025000|	 1.025551|	 1.025441|	 1.055196|	1.097499e-04|
 0.028125|	 1.028868|	 1.028747|	 1.067888|	1.208849e-04|
 0.031250|	 1.032226|	 1.032095|	 1.081811|	1.315391e-04|
 0.034375|	 1.035630|	 1.035488|	 1.096908|	1.417365e-04|
 0.037500|	 1.039083|	 1.038932|	 1.113121|	1.514996e-04|
 0.040625|	 1.042588|	 1.042427|	 1.130396|	1.608498e-04|
 0.043750|	 1.046149|	 1.045979|	 1.148678|	1.698074e-04|
 0.046875|	 1.049769|	 1.049590|	 1.167912|	1.783915e-04|
 0.050000|	 1.053449|	 1.053263|	 1.188047|	1.866203e-04|
 0.053125|	 1.057195|	 1.057000|	 1.209030|	1.945108e-04|
 0.056250|	 1.061007|	 1.060805|	 1.230810|	2.020795e-04|
